state,outcome,feature,q,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible
spot_taker_imbalance_change_1h=Q3,up_first_1atr_1h,spot_taker_imbalance_change_1h,3,20472,-0.0016848889449164184,10951,0.0012967673263709623,9521,-0.0049200436364733036,20496,0.003020508149938206,10603,0.005440918020748142,9893,0.00044270695490611356,,,False
spot_taker_imbalance_change_1h=Q4,direction_1h_atr,spot_taker_imbalance_change_1h,4,21079,-0.01654992607846685,11001,-0.017016410322100307,10078,-0.017485539745545186,21079,-0.021979261104064108,10843,-0.03400606060362689,10236,-0.011186198604828125,-1,0.01654992607846685,True
spot_taker_imbalance_change_1h=Q4,up_first_1atr_1h,spot_taker_imbalance_change_1h,4,20437,0.0013659282300948483,10650,-4.1811738803243514e-05,9787,0.003018064428078615,20467,0.00020882631882124247,10527,-0.0014892054154094225,9940,0.00202094216013321,1,0.00020882631882124247,False
spot_taker_imbalance_change_1h=Q5,direction_1h_atr,spot_taker_imbalance_change_1h,5,21079,-0.012678797613089939,9591,0.02502814607116495,11488,-0.04199318768706979,21079,-0.007512631611074735,9917,0.020844575922827895,11162,-0.029931510926996453,-1,0.007512631611074735,False
spot_taker_imbalance_change_1h=Q5,up_first_1atr_1h,spot_taker_imbalance_change_1h,5,20570,-0.004678507889786354,9376,-0.004191193238266444,11194,-0.005265686962698191,20453,0.0024059658812696783,9621,0.0007222816455399461,10832,0.0038815147537450967,,,False
perp_taker_imbalance_change_15m=Q1,direction_1h_atr,perp_taker_imbalance_change_15m,1,21079,-0.006006901886282369,10107,-0.01364294907740702,10972,0.0019794367302505486,21079,0.012693713675869259,9638,0.02108200170597501,11441,0.00967569565970851,,,False
perp_taker_imbalance_change_15m=Q1,up_first_1atr_1h,perp_taker_imbalance_change_15m,1,20534,0.004805152467161455,9856,0.0024889600129192058,10678,0.006866059692178683,20532,0.003802602564962232,9388,0.00141927724178198,11144,0.005781444874914388,1,0.003802602564962232,True
perp_taker_imbalance_change_15m=Q2,direction_1h_atr,perp_taker_imbalance_change_15m,2,21079,0.020557408142777886,10671,0.02783149862089851,10408,0.012587477539890042,21079,-0.01787431218440646,10926,-0.015654010083069353,10153,-0.022675929516058464,,,False
perp_taker_imbalance_change_15m=Q2,up_first_1atr_1h,perp_taker_imbalance_change_15m,2,20496,-0.0008504253764667347,10371,0.0066524236765817535,10125,-0.008491595021909826,20483,-0.005987983326571522,10623,-0.006609563075075986,9860,-0.00530087923476763,-1,0.0008504253764667347,False
perp_taker_imbalance_change_15m=Q3,direction_1h_atr,perp_taker_imbalance_change_15m,3,21078,0.002243972387248827,10816,0.010192326537759422,10262,-0.007049427946803653,21078,-0.005917068341021856,11261,-0.03239969659053678,9817,0.0200872926432022,,,False
